Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ghana,GHA,55.62,56.565,58.195,59.76,61.157,61.652,62.081,62.42,63.045,63.175,63.89,64.013
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gibraltar,GIB,77.072,76.556,81.37,81.442,80.958,81.871,83.366,80.55,81.882,80.427,81.702,81.83
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greece,GRC,76.9390243902439,77.5853658536585,77.8878048780488,79.2390243902439,80.3878048780488,80.7317073170732,80.6341463414634,81.2853658536585,81.3853658536585,81.0365853658537,81.3878048780488,81.2878048780488
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greenland,GRL,65.0682926829268,65.6441463414634,66.2224390243903,68.4273170731707,70.2919512195122,69.8541463414634,70.55,71.5734146341464,71.9856097560976,71.9773170731707,71.8251219512195,71.579756097561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Grenada,GRD,70.683,72.109,72.783,73.521,74.999,75.295,75.042,75.116,74.985,75.013,74.762,74.765
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guam,GUM,72.473,73.29,74.417,77.182,76.879,76.872,76.707,76.72,76.749,76.616,76.877,77.155
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guatemala,GTM,62.473,64.195,67.446,69.168,70.878,71.177,71.463,71.728,71.964,72.103,72.355,72.551
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea,GIN,47.004,49.866,52.479,54.632,56.72,57.019,57.406,57.791,57.886,58.134,58.763,59.109
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea-Bissau,GNB,47.084,48.952,50.121,52.249,56.23,56.967,57.69,58.232,58.61,59.128,59.674,60.066
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guyana,GUY,62.415,63.136,64.483,65.132,66.743,66.982,67.23,67.473,67.882,68.201,68.384,68.667
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Haiti,HTI,52.975,55.547,58.365,60.415,46.019,61.623,62.291,62.605,62.987,63.237,63.392,63.854
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Honduras,HND,65.243,67.139,68.662,70.104,71.088,71.439,71.734,71.963,72.259,72.487,72.588,72.692
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Hong Kong SAR, China",HKG,77.3804878048781,78.6829268292683,80.8780487804878,81.6292682926829,82.9780487804878,83.4219512195122,83.4804878048781,83.8317073170732,83.9804878048781,84.2780487804878,84.2268292682927,84.6804878048781
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Hungary,HUN,69.3156097560976,69.7917073170732,71.2463414634146,72.6487804878049,74.2073170731707,74.8585365853659,75.0634146341463,75.5658536585366,75.7634146341463,75.5682926829269,76.0634146341464,75.8170731707317
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iceland,ISL,78.0363414634146,77.9843902439024,79.6536585365854,81.5024390243902,81.8975609756097,82.3585365853659,82.9170731707317,82.0609756097561,82.8609756097561,82.4682926829268,82.2048780487805,82.6609756097561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,India,IND,58.652,60.596,62.669,64.996,66.909,67.359,67.887,68.46,69.074,69.636,70.117,70.467
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Indonesia,IDN,63.181,65.237,66.433,67.649,68.679,68.823,68.973,69.264,69.533,69.699,69.798,69.936
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Iran, Islamic Rep.",IRN,64.367,67.785,69.691,71.838,73.069,73.679,74.186,74.449,74.782,75.124,75.6,75.971
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iraq,IRQ,58.435,66.464,66.817,64.844,67.062,67.659,68.023,68.253,68.914,69.44,68.988,70.413
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ireland,IRL,74.8460731707317,75.4698048780488,76.5365853658537,78.9439024390244,80.7439024390244,80.7463414634146,80.8463414634146,80.9487804878049,81.3487804878049,81.4536585365854,81.6536585365854,82.1560975609756
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Isle of Man,IMN,71.959,73.264,74.725,77.623,78.983,79.19,79.337,79.473,80.037,78.905,80.314,80.457
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Israel,ISR,76.6073170731707,77.4512195121951,78.9536585365854,80.1512195121951,81.6024390243903,81.6560975609756,81.7048780487805,82.0560975609756,82.1536585365854,82.0512195121951,82.4073170731707,82.5512195121951
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Italy,ITA,76.9707317073171,78.1707317073171,79.7780487804878,80.7829268292683,82.0365853658537,82.1878048780488,82.2390243902439,82.690243902439,83.090243902439,82.5439024390244,83.2439024390244,82.9463414634147
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jamaica,JAM,72.304,71.549,70.944,71.044,72.622,73.094,73.433,73.412,72.982,72.394,72.02,71.911
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Japan,JPN,78.8368292682927,79.5363414634147,81.0760975609756,81.9251219512195,82.8426829268293,82.5912195121951,83.0960975609756,83.3319512195122,83.5878048780488,83.7939024390244,83.9848780487805,84.099756097561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jordan,JOR,69.854,70.87,71.918,72.932,74,74.189,74.366,74.562,74.789,75.011,75.215,75.502
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kazakhstan,KAZ,68.3365853658537,63.5,65.45,65.86,68.45,68.69,69.52,70.62,71.44,71.97,72.41,72.95
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kenya,KEN,58.614,55.617,54.411,57.344,60.649,61.046,61.115,61.389,61.816,61.892,62.163,62.481
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kiribati,KIR,60.917,63.014,64.409,64.967,65.016,65.19,65.378,65.588,65.815,66.059,66.332,66.597
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Dem. People's Rep.",PRK,70.21,60.894,60.763,69.285,70.419,70.978,71.626,72.319,72.942,72.784,72.805,72.978
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Rep.",KOR,71.5975609756098,73.7,75.909756097561,78.1682926829268,80.1170731707317,80.5682926829269,80.819512195122,81.2707317073171,81.7219512195122,82.0243902439024,82.2756097560976,82.6268292682927
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kosovo,XKX,70.917,72.441,74.072,75.616,77.63,77.74,78.28,78.587,78.88,78.922,78.981,78.783
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kuwait,KWT,73.281,75.537,76.722,76.903,77.982,78.464,78.812,79.164,79.445,79.562,79.701,79.781
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kyrgyz Republic,KGZ,68.2975609756098,65.790243902439,68.5585365853659,67.9560975609756,69.3,69.6024390243903,70.0024390243902,70.2024390243902,70.4024390243902,70.6512195121951,70.9512195121951,71.2
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lao PDR,LAO,53.713,56.385,58.378,60.98,63.973,64.736,65.355,65.718,66.361,66.67,67.167,67.434
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latvia,LVA,69.2731707317073,66.3912195121951,70.3146341463415,71.3560975609756,73.4829268292683,73.5756097560976,73.7780487804878,73.9829268292683,74.1243902439024,74.4804878048781,74.580487804878,74.6292682926829
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lebanon,LBN,64.475,72.043,73.931,76.273,78.156,78.404,78.628,78.765,78.973,79.229,79.505,79.654
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lesotho,LSO,59.398,56.723,48.427,43.233,45.596,46.692,47.835,49.002,50.033,51.101,52.264,53.064
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liberia,LBR,36.688,43.917,51.356,56.912,59.433,59.62,59.913,59.943,59.121,59.148,60.416,60.553
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Libya,LBY,69.423,71.09,70.68,71.592,72.374,70.071,72.247,72.34,71.511,71.698,71.756,72.482
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liechtenstein,LIE,..,77.390243902439,76.8268292682927,80.6682926829268,81.8414634146342,81.7926829268293,82.3829268292683,82.2609756097561,82.0731707317073,82.6560975609756,82.2585365853659,83.7463414634147
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lithuania,LTU,71.1607317073171,69.0063414634147,72.0195121951219,71.2536585365854,73.2682926829268,73.5634146341464,73.8634146341464,73.9146341463415,74.5170731707317,74.3219512195122,74.6707317073171,75.4804878048781
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Luxembourg,LUX,75.4383170731707,76.5121951219512,77.8731707317073,79.4317073170732,80.6317073170732,80.9878048780488,81.3926829268293,81.8,82.2292682926829,82.2926829268293,82.6853658536585,82.0951219512195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Macao SAR, China",MAC,77.424,79.349,80.959,82.033,83.109,83.229,83.326,83.727,83.883,83.984,84.231,84.563
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Madagascar,MDG,51.701,54.961,57.938,60.57,62.873,63.494,63.544,63.962,64.255,64.339,64.997,65.094
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malawi,MWI,43.323,43.641,44.518,52.044,56.381,57.455,58.679,59.729,60.899,61.378,62.209,62.977
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malaysia,MYS,71.307,72.384,72.775,74.096,74.442,74.746,74.944,75.035,75.146,75.094,75.289,75.476
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Maldives,MDV,63.578,67.476,70.876,74.751,77.657,78.124,78.682,79.057,79.424,79.695,79.872,79.943
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mali,MLI,46.62,47.816,50.539,54.003,56.382,56.755,57.079,57.357,57.9,58.363,58.731,59.132
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malta,MLT,75.8799756097561,77.290243902439,78.3487804878049,79.3,81.3975609756098,80.7463414634146,80.7463414634146,81.7463414634146,82.0463414634146,81.8975609756097,82.4536585365854,82.3463414634146
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Marshall Islands,MHL,..,..,65.2390243902439,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritania,MRT,59.77,60.259,61.028,61.656,63.105,63.346,63.578,63.911,64.155,64.485,64.768,65.083
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritius,MUS,69.4048780487805,70.3258536585366,71.6634146341463,72.4321951219512,72.9673170731707,73.2668292682927,73.8634146341464,74.0170731707317,74.1943902439024,74.3531707317073,74.3948780487805,74.5146341463415
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mexico,MEX,69.971,71.646,73.569,74.376,74.19,74.365,74.574,74.739,74.797,74.682,74.412,74.138
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Micronesia, Fed. Sts.",FSM,67.425,68.553,69.769,70.884,71.233,71.318,71.398,71.499,71.529,71.408,71.595,71.467
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Moldova,MDA,68.067,65.099,66.417,68.169,69.357,69.192,69.143,69.099,69.031,69.24,69.917,70.516
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mongolia,MNG,58.765,60.612,62.882,64.879,67.182,67.439,68.111,68.585,69.047,69.498,69.865,70.237
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Montenegro,MNE,75.5668780487805,74.109,73.8184878048781,73.9829268292683,75.990243902439,75.9829268292683,76.2,76.490243902439,76.4414634146341,76.4487804878049,76.4414634146341,76.4853658536585
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Morocco,MAR,62.448,64.736,66.787,68.704,70.829,71.269,71.679,72.122,72.538,72.92,73.284,73.66
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mozambique,MOZ,44.469,46.04,49.491,51.561,54.198,54.869,55.639,56.492,57.274,58.151,59.038,59.771
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Myanmar,MMR,56.661,58.259,60.155,61.599,63.329,63.901,64.141,64.815,65.056,65.561,65.685,65.843
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Namibia,NAM,62.496,58.634,51.99,51.787,56.015,56.553,57.64,58.694,59.822,60.7,61.682,62.293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nepal,NPL,54.833,59.318,62.614,65.457,66.814,67.313,67.47,67.965,68.085,67.456,68.776,68.91
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Netherlands,NLD,76.8780487804878,77.4046341463415,77.9878048780488,79.3463414634146,80.7024390243902,81.2048780487805,81.1048780487805,81.3048780487805,81.7073170731707,81.509756097561,81.5609756097561,81.7609756097561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Caledonia,NCL,70.4853658536585,72.009756097561,75.1634146341463,75.7219512195122,77.2804878048781,76.6317073170732,77.0780487804878,77.1780487804878,77.2365853658537,77.2804878048781,76.9317073170732,77.5390243902439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Zealand,NZL,75.3780487804878,76.7341463414634,78.6365853658537,79.8512195121951,80.7024390243902,80.9048780487805,81.1560975609756,81.4073170731707,81.4048780487805,81.4568292682927,81.6124390243903,81.6585365853659
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nicaragua,NIC,63.096,65.608,67.234,67.936,72.009,72.416,72.615,72.704,72.812,72.983,73.256,73.554
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Niger,NER,41.852,45.774,49.322,53.59,58.367,58.994,59.65,60.239,60.786,61.083,61.629,62.16
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nigeria,NGA,46.037,45.487,47.193,49.297,50.945,51.357,51.497,51.707,51.791,51.841,52.043,52.305
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North Macedonia,MKD,71.2338048780488,71.8487804878049,72.9463414634147,73.6975609756098,74.9975609756098,75.1,74.9024390243903,75.4,75.4512195121951,75.4024390243902,75.4,75.9536585365854
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Norway,NOR,76.5373170731707,77.7365853658537,78.6341463414634,80.0414634146342,80.9975609756098,81.2951219512195,81.4512195121951,81.7512195121951,82.1,82.3048780487805,82.4073170731707,82.609756097561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oman,OMN,69.782,71.99,73.466,74.396,76.269,76.608,77.061,77.246,77.446,77.687,77.916,77.924
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pakistan,PAK,60.066,59.878,62.102,62.466,64.436,64.648,64.782,65.15,65.284,65.697,65.88,66.297
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Palau,PLW,69.0692682926829,71.8446341463415,70.4936585365854,69.1292682926829,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Panama,PAN,71.097,72.385,74.001,75.829,76.448,76.627,76.819,77.038,77.248,77.468,77.653,77.795
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Papua New Guinea,PNG,59.721,61.049,61.72,61.801,63.039,63.526,63.733,63.961,64.259,64.701,64.84,65.103
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Paraguay,PRY,67.944,69.009,69.75,70.527,71.887,72.131,72.454,72.757,72.878,73.191,73.534,73.644
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Peru,PER,65.106,67.644,70.424,72.986,73.711,74.133,74.544,74.967,75.333,75.621,75.789,75.879
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Philippines,PHL,65.909,68.223,69.413,70.24,70.754,70.788,70.881,70.835,71.151,71.268,71.387,71.516
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Poland,POL,70.890243902439,71.8926829268293,73.7487804878049,74.9951219512195,76.2463414634146,76.6951219512195,76.7463414634146,77,77.6024390243903,77.4512195121951,77.8512195121951,77.7536585365854
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Portugal,PRT,73.9658536585366,75.3121951219512,76.3146341463415,78.0707317073171,79.0268292682927,80.4707317073171,80.3731707317073,80.7219512195122,81.1219512195122,81.1243902439025,81.1243902439025,81.4243902439025
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Puerto Rico,PRI,73.89,74.364,75.977,77.237,78.01,78.316,78.461,78.777,78.929,79.695,80.27,79.258
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Qatar,QAT,73.982,74.25,74.828,76.064,78.425,78.891,79.227,79.536,79.768,80.064,80.433,80.717
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Romania,ROU,69.7412195121951,69.4560975609756,71.1634146341463,71.9121951219512,73.4585365853659,74.409756097561,74.4121951219512,75.0634146341463,74.909756097561,74.9121951219512,75.209756097561,75.309756097561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Russian Federation,RUS,68.8860975609756,64.6907317073171,65.4836585365854,65.529756097561,68.8412195121951,69.6839024390244,70.0721951219512,70.5787804878049,70.7436585365854,71.1834146341463,71.6512195121951,72.4514634146342
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Rwanda,RWA,48.431,39.969,47.129,57.316,62.54,63.261,64.009,64.426,64.94,65.298,65.737,65.941
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Samoa,WSM,67.658,69.298,70.746,71.754,72.249,72.26,72.167,72.391,72.463,72.515,72.54,72.59
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sao Tome and Principe,STP,61.471,61.056,61.655,63.709,65.249,64.902,65.746,66.328,66.845,67.249,67.492,68.267
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Saudi Arabia,SAU,68.948,71.011,72.467,74.588,75.763,76.234,76.461,76.626,76.757,76.918,77.064,77.16
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Senegal,SEN,56.948,56.839,56.943,60.915,64.615,65.262,65.457,66.072,66.452,66.879,67.497,67.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Serbia,SRB,..,..,71.5829268292683,72.8341463414634,74.3365853658537,74.5365853658537,74.8365853658537,75.1853658536585,75.3365853658537,75.2878048780488,75.6878048780488,75.5390243902439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Seychelles,SYC,68.1073170731707,72.4829268292683,72.7780487804878,72.1317073170732,73.1975609756098,72.7243902439024,74.2756097560976,73.119512195122,73.2292682926829,74.2951219512195,74.309756097561,74.3
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sierra Leone,SLE,44.057,42.716,45.05,48.237,53.693,54.62,55.451,56.313,56.393,57.189,58.404,58.652
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Singapore,SGP,75.2951219512195,76.2951219512195,77.9512195121951,79.990243902439,81.5414634146342,81.7439024390244,81.9951219512195,82.2463414634147,82.4951219512195,82.7439024390244,82.8463414634146,83.0951219512195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,73.0536585365854,..,77.0682926829268,77.219512195122,78.2926829268293,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovak Republic,SVK,70.9326829268293,72.2536585365854,73.0512195121951,73.9048780487805,75.1121951219512,75.9585365853659,76.109756097561,76.4121951219512,76.8121951219512,76.5634146341463,77.1658536585366,77.1658536585366
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovenia,SVN,73.2048780487805,73.9585365853659,75.4121951219512,77.6121951219512,79.4219512195122,79.9707317073171,80.1243902439024,80.3219512195122,81.0780487804878,80.7756097560976,81.1756097560976,81.0292682926829
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Solomon Islands,SLB,65.392,66.381,67.225,67.936,68.732,68.908,69.084,69.188,69.234,69.583,69.801,69.988
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Somalia,SOM,47.105,50.6,50.66,50.661,50.563,51.304,53.161,53.843,54.277,54.857,55.044,55.654
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Africa,ZAF,63.375,62.262,58.47,53.98,58.899,60.651,61.846,62.533,63.38,63.95,64.747,65.402
